Page — URL mesuree, telle que servie par le serveur de dev (localhost:3210)	Type — page statique | index de catalogue | fiche de detail | admin	Locale — en ou fr	HTTP — code de reponse de la navigation	M1 Rendu — la page rend-elle sans erreur console, sans pageerror, sans divergence d'hydratation ?	M2 Donnees — les chiffres et listes affiches correspondent-ils au reel mesure (versions, comptes, catalogues) ?	M3 Liens — les liens internes resolvent-ils (pas de 404/500, pas d ancre morte) ?	M4 i18n — parite en/fr, aucune cle brute affichee, aucune chaine non traduite visible	M5 a11y — axe-core 4.13 : violations serious/critical (devtools Nuxt exclus du contexte)	M6 Visuel — elements a taille nulle, debordement horizontal de page, ombre sur surface transparente	M7 Theming — le theme actif est-il respecte, une prop de theme est-elle ignoree en silence ?	M8 SEO — title, description, og:*, canonical, h1 unique	Gravite — gravite du pire defaut de la ligne	Preuve — mesure brute qui fonde chaque verdict
/directives	index de catalogue	en	200	conforme	defaut	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche [] / reel 6 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 6/10 phrases (60%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 25 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Directives · origam design system · origam"
/enums	index de catalogue	en	200	conforme	conforme	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["137 enums"] / reel 137 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 106/110 phrases (96%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 370 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "API Enums · origam design system · origam"
/interfaces	index de catalogue	en	200	conforme	conforme	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["966 interfaces"] / reel 966 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 732/736 phrases (99%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 2252 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "API Interfaces · origam design system · origam"
/types	index de catalogue	en	200	conforme	conforme	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["487 types"] / reel 487 | M3: 3 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) ; /types/-t-not-a-union (500) | M4: 108/112 phrases (96%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 1206 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "API Types · origam design system · origam"
/utils	index de catalogue	en	200	conforme	conforme	defaut	defaut	defaut	defaut	conforme	defaut	majeur	M2: compteur affiche ["371 utils"] / reel 371 | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M4: 399/403 phrases (99%) identiques en FR et en EN — descriptions du catalogue non traduites | M5: 1 noeud(s) serious/critical (dont 0 critical) — aria-command-name:serious:1 image-redundant-alt:minor:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 1084 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Utils · origam design system · origam"
/components/audio-waveform	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 2 noeud(s) serious/critical (dont 0 critical) — aria-prohibited-attr:serious:1 color-contrast:serious:1 image-redundant-alt:minor:1 | M6: 2 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 18 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: aucune meta description ni og:description (descriptionFallback vide en base) | M8: marque dupliquee dans le titre -> "AudioWaveform · origam components · origam"
/components/avatar	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 47 noeud(s) serious/critical (dont 8 critical) — aria-allowed-attr:critical:8 aria-command-name:serious:4 aria-prohibited-attr:serious:5 color-contrast:serious:30 image-redundant-alt:minor:1 landmark-unique:moderate:3 | M6: 2 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 102 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Avatar · origam components · origam"
/components/chart	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 17 noeud(s) serious/critical (dont 2 critical) — aria-allowed-attr:critical:2 aria-allowed-role:minor:2 aria-command-name:serious:1 aria-prohibited-attr:serious:1 color-contrast:serious:11 image-redundant-alt:minor:1 landmark-unique:moderate:3 list:serious:1 nested-interactive:serious:1 | M6: 4 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 138 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Chart · origam components · origam"
/components/alert	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 40 noeud(s) serious/critical (dont 6 critical) — aria-allowed-attr:critical:6 aria-command-name:serious:3 aria-prohibited-attr:serious:3 color-contrast:serious:26 image-redundant-alt:minor:1 label-title-only:serious:2 landmark-unique:moderate:3 | M6: 4 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 127 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Alert · origam components · origam"
/components/btn	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary, figma_plugin | M3: 3 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) ; /types/t-color (404) | M5: 60 noeud(s) serious/critical (dont 10 critical) — aria-allowed-attr:critical:10 aria-command-name:serious:5 aria-prohibited-attr:serious:5 color-contrast:serious:40 image-redundant-alt:minor:1 landmark-unique:moderate:3 | M6: 4 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 155 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Btn · origam components · origam"
/components/app	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 25 noeud(s) serious/critical (dont 4 critical) — aria-allowed-attr:critical:4 aria-command-name:serious:2 aria-prohibited-attr:serious:2 color-contrast:serious:17 image-redundant-alt:minor:1 landmark-unique:moderate:3 | M6: 3 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 49 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "App · origam components · origam"
/components/audio	fiche de detail	en	200	defaut	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M1: 3 erreur(s) console | M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 41 noeud(s) serious/critical (dont 8 critical) — aria-allowed-attr:critical:4 aria-command-name:serious:2 aria-prohibited-attr:serious:2 aria-tooltip-name:serious:4 color-contrast:serious:23 image-redundant-alt:minor:1 label-title-only:serious:2 label:critical:4 landmark-unique:moderate:5 | M6: 6 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 165 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Audio · origam components · origam"
/components/bottom-nav	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 41 noeud(s) serious/critical (dont 8 critical) — aria-allowed-attr:critical:8 aria-command-name:serious:4 aria-prohibited-attr:serious:4 color-contrast:serious:25 image-redundant-alt:minor:1 landmark-unique:moderate:4 | M6: 4 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 122 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "BottomNav · origam components · origam"
/components/dialog	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 41 noeud(s) serious/critical (dont 4 critical) — aria-allowed-attr:critical:4 aria-command-name:serious:2 aria-prohibited-attr:serious:2 color-contrast:serious:33 image-redundant-alt:minor:1 landmark-unique:moderate:3 | M6: 5 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 178 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Dialog · origam components · origam"
/components/card	fiche de detail	en	200	defaut	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M1: 36 avertissement(s) d'hydratation | M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 43 noeud(s) serious/critical (dont 6 critical) — aria-allowed-attr:critical:6 aria-command-name:serious:3 aria-prohibited-attr:serious:3 color-contrast:serious:28 image-redundant-alt:minor:1 label-title-only:serious:3 landmark-unique:moderate:3 | M6: 4 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 151 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Card · origam components · origam"
/components/blockquote	fiche de detail	en	200	conforme	defaut	defaut	conforme	defaut	defaut	conforme	defaut	bloquant	M2: affirmation perimee affichee -> style_dictionary | M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 36 noeud(s) serious/critical (dont 8 critical) — aria-allowed-attr:critical:8 aria-command-name:serious:4 aria-prohibited-attr:serious:4 color-contrast:serious:19 image-redundant-alt:minor:1 label-title-only:serious:1 landmark-unique:moderate:3 | M6: 3 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 106 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "Blockquote · origam components · origam"
/components/client-only	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 20 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:20 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 2 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 19 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "ClientOnly · origam components · origam"
/composables/use-audio-player	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 15 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:15 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 26 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useAudioPlayer · origam composables · origam"
/composables/use-calendar	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 15 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:15 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: debordement horizontal de page 137px (scrollWidth > clientWidth) | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 33 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useCalendar · origam composables · origam"
/composables/use-chart	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 15 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:15 image-redundant-alt:minor:1 landmark-unique:moderate:1 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 36 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useChart · origam composables · origam"
/composables/use-clipboard	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 20 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:20 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 24 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useClipboard · origam composables · origam"
/composables/use-code	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 22 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:22 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 22 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useCode · origam composables · origam"
/composables/use-command	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 16 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:16 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 24 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useCommand · origam composables · origam"
/composables/use-activator	fiche de detail	en	200	conforme	non applicable	defaut	conforme	defaut	defaut	conforme	defaut	majeur	M3: 2 lien(s) interne(s) mort(s) -> /privacy (404) ; /contact (404) | M5: 30 noeud(s) serious/critical (dont 0 critical) — color-contrast:serious:30 image-redundant-alt:minor:1 landmark-unique:moderate:2 | M6: 1 ombre(s) portee(s) sur surface transparente (origam-kbd en tete) | M7: data-theme=geek data-mode=light lang=en-US ; 35 declarations inline via --origam-* / 0 couleur(s) en dur hors badge devtools | M8: aucun og:image (ogImage desactive dans nuxt.config, aucun repli statique) | M8: marque dupliquee dans le titre -> "useActivator · origam composables · origam"
