"Composant Nom du composant tel qu'il est exporte par le DS | LECON TRANSVERSALE (ligne OrigamSection retiree le 2026-08-26 ; verdict bloquant pose le 2026-08-21 par scribe-tableau-2 ; ticket #453) : composant EXPORTE dans le package npm alors qu'il etait un stub vide - <div> sans aucun <slot/>, zero props, zero defineSlots. Le .md etait honnete (bandeau WIP explicite) ; la story ne l'etait PAS : ses Variants Default et Slots - Default passaient du contenu enfant que le composant ne pouvait pas afficher, donc une boite vide alors que le control Content pretendait agir dessus. A retenir : une story qui expose un control sans effet ment plus fort qu'une doc absente, et un verdict bloquant inscrit ici ne vaut que s'il ressort en ticket.",Famille Dossier de la famille dans components/ — une famille se deplace d'un bloc,Composants dans la famille Nombre de composants dans la famille — indique le poids de l'inspection,C1 Rendu distinct Chaque valeur de prop produit-elle un rendu DISTINCT ? Pas la classe emise : la regle SCSS existe-t-elle et le style calcule change-t-il ?,"C2 Canal du theme Le canal du theme est-il intact ? Aucune valeur en dur (px, couleur) n'ecrase un token --origam-xxx---*",C3 Reactivite Changer la prop APRES le montage change-t-il le rendu ? Attendre nextTick (souvent 2 fois) avant de lire le DOM,"C4 ADR-005 ADR-005 : aucune lecture eagerly dans le corps de setup() — le resolveur ecrit dans beforeCreate, donc APRES","C5 Emits assertes Les emits declares partent-ils reellement, et un test le prouve-t-il ? Verifier que emit( est bien appele quelque part","C6 Semantique / a11y HTML semantique et a11y : element natif plutot que div, pas d'ARIA redondant, content model respecte, aucun attribut parasite qui fuit",C7 Story + doc Story et doc refletent-elles l'API vivante ? Distinguer la doc ABSENTE de la doc MENSONGERE,"C8 Zero chaine en dur Zero chaine en dur destinee a l'utilisateur, y compris aria-label, placeholder et valeurs par defaut de props","Gravite max Gravite du pire defaut trouve : bloquant = perte de donnees, prop morte, a11y cassee",Statut Ou en est l'inspection de ce composant,Inspecteur,Date,Preuve / lien,Ticket,Notes,"Module cible Module npm installable dans lequel ira ce composant (#14 / ADR-006). A TRANCHER par le mainteneur : l'affectation est une decision, pas une deduction","Dependances inter-familles MESURE : familles dont ce composant consomme un symbole (type, enum, const, interface). Commons exclu. Un tiret = aucune. Ces liens sont ce qui bloque le decoupage en modules","defineProps + interface defineProps<IXxxProps>() typé par générique, interface I-préfixée rangée dans src/interfaces/**","defineEmits + interface defineEmits<IXxxEmits>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun emit relais atteignable","defineSlots + interface defineSlots<IXxxSlots>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun <slot> dans le template, OU si les slots sont forwardes dynamiquement (v-for sur $slots) : un critere techniquement impossible a satisfaire ne s'applique pas. Cas OrigamChart et OrigamContextualMenu — passthroughs transparents ou typer defineSlots casse la compilation (TS7053) ou ment sur la surface acceptee.",Remarque,col24,col25
OrigamBracketCompetitor,Bracket,4.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,defaut,mineur,inspecte,agent QA e2e,2026-08-21,"fontSize agit sur les 3 surfaces mesurees (racine 14->30px, seed 12->30px, score 14->30px) ; Enter au clavier declenche bien l'emit click sur la ligne interactive",#388,"C2 : le canal fonctionne (inline style color: var(--origam-color__action--primary---fgSubtle) prouve conforme, teste par override du token en direct). MAIS la classe utilitaire origam--color-primary emise en parallele pointe vers --origam-color__action--primary---fg, un token DIFFERENT, et est TOUJOURS masquee par le style inline. Classe morte, jamais visible a l'ecran. Contredit la strategie classes-first (CLAUDE.md) qui dit que le style doit etre vide quand la valeur est tokenisee. Verifie via Playwright (override CSS var direct + lecture getComputedStyle, 2 essais opposes).",,-,conforme,conforme,conforme,,,
OrigamBracketMatch,Bracket,4.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA e2e,2026-08-21,"status live->completed change le texte ET la couleur du point (rgb(220,38,38) -> rgb(22,163,74)) ; bgColor=danger bascule le texte en blanc, warning en noir (auto-contraste WCAG)",-,"SEULE ligne entierement conforme des 16 inspectees. Toutes les props ciblees prouvees distinctes, les 4 emits verifies, story complete Design/State/Functional/4 Events/Slots/Default. Le slot competitor fonctionne A CE NIVEAU : le defaut de relais est dans Round, pas ici. C2 NON MESURE.",,-,conforme,conforme,conforme,,,
OrigamBracketRound,Bracket,4.0,conforme,defaut,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA e2e,2026-08-21,OrigamBracketRound.story.vue : aucune Variant Events-* ni Slots-* pour 3 emits et 2 slots ; la Variant Default ne cable aucun listener,"#388, #428","C7 : 3 emits et 2 slots orphelins de toute Variant, en violation directe de la regle Story+doc sync du CLAUDE.md. Consequence qui depasse la doc : impossible de prouver au runtime que Round emet quoi que ce soit. direction, fontFamily et lineHeight sans controle. Ses 3 freres ont leurs Variants completes. C2 : deux canaux testes. SCSS->token conforme (le color forwarde jusqu'au OrigamBracketMatch enfant suit bien --origam-color__action--primary---fgSubtle quand on override le token, mesure par getComputedStyle avant/apres). Theme->props CASSE : OrigamBracketRound.vue ligne 35 passe :color=""color"" a OrigamBracketMatch sans garde (pas de wasPropPassed/omitUndefined), meme patron que le bug corrige dans OrigamBottomNav.vue:126-140. color a un defaut 'primary' donc toujours defini cote Round -> un theme cible sur origam-bracket-match ne peut jamais gagner quand il est mont via Round. Verdict global defaut : canal SCSS ok, canal theme->forwarding rompu.",,—,conforme,conforme,conforme,,,
OrigamBreadcrumb,Breadcrumb,3.0,defaut,defaut,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,active=true et active=false produisent un HTML identique au bit pres sur le 1er item : normalizedItems() reecrit toujours active par position,"#386, CORRIGE #381 (df0e20e0)","C1 : la prop active de la racine est INERTE sur le chemin d'usage principal (items) — normalizedItems() la reecrit toujours par position. activeClass n'est cable nulle part. C2 : rounded code en dur a 24px au lieu du token, box-shadow-elevated jamais lu, padding et gap jamais lus. C7 : hover et active sans aucun controle de story. CORRIGE #381 (df0e20e0) : useStyle(breadcrumbStyles, () => props.id) ajoute, id consommateur atteint desormais la racine. #386 reste ouvert (defaut distinct). Commit cc2c8daf.",,-,conforme,conforme,conforme,,,
OrigamBreadcrumbDivider,Breadcrumb,3.0,conforme,defaut,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"--origam-breadcrumb-divider---padding-inline, le nom que le composant LIT, a zero occurrence dans tout le CSS genere ; le token existe sous --origam-breadcrumb__divider---padding-inline",#386,"C2 : quasi toute la surface de tokens est inatteignable par un theme — decalage de nom entre ce que Style Dictionary emet (--origam-breadcrumb__divider---*) et ce que le composant lit (--origam-breadcrumb-divider---*). C7 : story a jour mais ZERO test e2e, et le fichier de recette omet le composant de son propre plan.",,-,conforme,conforme,conforme,,,
OrigamBreadcrumbItem,Breadcrumb,3.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"getPropertyValue('--origam-breadcrumb-item---opacity-disabled') retourne une chaine VIDE : seul le repli 0.5 code en dur s'applique, aucun theme ne peut l'atteindre",#386,"C2 : meme decalage de nom que le divider, 12 references concernees. C1/C3/C6/C7 conformes : href donne un <a> natif et un <span> sinon, aria-current=page correct sur le dernier item, story complete. Le defaut est ENTIEREMENT dans le canal du theme, le composant lui-meme est sain.",,—,conforme,conforme,conforme,,,
OrigamBtn,Btn,3.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,bloquant,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"border=thin : border-top-width calcule = 0px alors que la classe origam--border-thin EST presente. La regle scopee .origam-btn[data-v-hash] (0,2,0) bat la classe utilitaire nue (0,1,0), et elle est inconditionnelle",#391,"C1/C2 : border boolean/thin/thick totalement inerte sur un Btn isole — la regle scopee Vue bat la classe utilitaire, et la rustine ligne 631 ecrit dans une variable que la ligne 528 ne lit pas. border=top/right/... sans effet non plus (BORDER_REGEX l'absorbe comme une couleur invalide). border=4 (nombre) marche, car il passe par le selecteur d'ID de useStyle. C7 : la doc du composant DE REFERENCE affirme trois faussetes a11y — aria-busy (zero occurrence), fallback aria-label icon-only (la prop n'existe pas), aria-disabled sur button (vrai seulement pour le tag a). Story : Variant VRT placee APRES Default, contre la regle Playground LAST du CLAUDE.md.",,Progress,conforme,conforme,conforme,,,
OrigamBtnGroup,Btn,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"border=true sur le GROUPE donne bien border-top-width: 1px — asymetrie qui confirme que le defaut est localise dans OrigamBtn.vue, pas dans le canal utilitaire lui-meme",CORRIGE #381 (df0e20e0),"Aucun defaut. Le groupe possede sa propre bordure fonctionnelle et force ses enfants a border-width:0 — c'est lui qui porte le seul contour. divided verifie : border-inline-end non nul sur les deux premiers boutons, 0px sur le dernier. items + slot #item rendent bien 3 boutons custom. Sa doc est exacte, y compris l'exemple rounded+border, car elle illustre le GROUPE et non le Btn.Mesure runtime #381 : useStyle(btnGroupStyles) sans () => props.id, id du consommateur perdu (racine = origam-btn-group-0 genere), non note precedemment (Ticket = aucun). CORRIGE #381 (df0e20e0) : useStyle(btnGroupStyles, () => props.id) ajoute. C1 etait note conforme sans verifier l'id specifiquement ; verifie reellement distinct maintenant. Commit cc2c8daf.",,—,conforme,conforme,conforme,,,
OrigamBtnToggle,Btn,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"multiple + max=1 : deux clics successifs laissent un seul item actif, la limite est respectee ; update:modelValue emis et verifie via l'onglet Events",-,"Aucun defaut. Selection simple : un seul item actif a la fois, sur le bon item. multiple avec max=1 respecte la limite. update:modelValue emis et verifie. Rien a signaler sur C1/C2/C3/C6/C7.",,—,conforme,conforme,conforme,,,
OrigamCalendar,Calendar,1.0,conforme,defaut,conforme,defaut,conforme,defaut,defaut,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"grep -c calendar sur main.css retourne 0, alors que tokens/component/calendar.json declare 43 tokens correctement nommes : le set n'est reference dans aucun theme de $themes.json","#389, #390","C2 : les 43 tokens du composant ne sont JAMAIS generes (set absent de $themes.json) — basculer en data-theme=dark n'a aucun effet sur le calendrier, seuls les axes transverses restent themables. C4 : view et currentDate lus eagerly, donc un theme qui imposerait view=week echoue en silence (verifie au runtime). C6 : les 35-42 cellules ont toutes tabindex=0 et les fleches ne deplacent jamais le focus DOM — navigation clavier jour a jour impossible. C7 : la doc decrit un patron ARIA tablist/tab ABANDONNE, contre lequel le test garde explicitement ; binding fantome currentDate sur le slot header.",,—,conforme,conforme,conforme,,,
OrigamCard,Card,3.0,conforme,conforme,conforme,conforme,defaut,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"mount(OrigamCard, {title, onClick}) rend tabindex=undefined ET role=undefined, alors que la classe origam-card--link (curseur pointer) est bien presente : cliquable a la souris, invisible au clavier",#392,"C6 : une Card cliquable par @click ou par la prop link reste un div sans tabindex ni role — Tab la saute, Entree et Espace ne l'activent pas. Le template ecrit :tabindex=disabled ? -1 : undefined : on ne retire une carte du parcours que si l'on croit qu'elle y est, le cas 0 n'a jamais ete ecrit. Le test existant mesure isClickable par l'overlay VISUEL, donc il passe. Une Card avec href ou to est saine. C2 conforme : les 44 variables non declarees ont ete verifiees une par une, points d'extension volontaires, PAS le defaut #386.",,Progress,conforme,conforme,conforme,,,
OrigamCardHeader,Card,3.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA e2e,2026-08-21,"82 variables lues, 81 declarees dans un bloc :root{} du .vue lui-meme et 0 par un fichier de tokens : aucun tokens/component/card-header.json n'existe","#393, CORRIGE #381 (df0e20e0)","C2 : toute la surface de valeurs par defaut est ecrite en dur dans le .vue, hors du pipeline de tokens — editer tokens/component puis tokens:build ne peut rien sur ce composant. Complement a #381 : la delegation tag=OrigamToolbar (une STRING resolue a l'execution) fait gagner l'useStyle de l'enfant, l'id du consommateur est perdu, l'API exposee pointe vers une feuille orpheline, et chaque montage laisse une balise style non nettoyee dans le head.",,—,conforme,conforme,conforme,,,
OrigamCardText,Card,3.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,mineur,inspecte,agent QA e2e,2026-08-21,"26 variables lues, 26 declarees dans son propre :root{} du .vue, 0 par un fichier de tokens : meme nature que CardHeader",#393,"C2 : meme nature que CardHeader, valeurs par defaut dans le .vue au lieu d'un fichier de tokens. Tout le reste est propre : tag defaute a div sans indirection, padding produit directement la declaration attendue, story et doc completes. Mineur car la surface est bien plus petite, 26 variables contre 78.",,—,conforme,conforme,conforme,,,
OrigamCarousel,Carousel,2.0,conforme,defaut,conforme,conforme,conforme,defaut,conforme,conforme,majeur,inspecte,agent QA + verifie PM,2026-08-20 / e32e8ff7,"grep role= / aria-live / pause sur Carousel + Window : 0 resultat, alors que cycle=true fait defiler automatiquement sans aucun controle d'arret","#386, #394","C6 : patron WAI-ARIA carousel absent — ni role=region, ni aria-roledescription, ni region live, et AUCUN controle pause/lecture en autoplay (violation WCAG 2.2.2). prefers-reduced-motion est bien respecte et verifie, mais ne couvre que ceux qui ont active ce reglage systeme. C2 : 4 tokens morts par choix de nom, 6 par le bug mecanique du tiret. Verifie NEGATIF et rassurant : l'id du consommateur est bien preserve, Carousel compose origam-window directement au lieu d'un tag en string.",,Window,conforme,conforme,conforme,,,
OrigamCarouselItem,Carousel,2.0,conforme,conforme,conforme,conforme,conforme,defaut,conforme,conforme,majeur,inspecte,agent QA e2e,2026-08-21,"Montage a plat rejete avec un message explicite : Could not find useGroup injection with symbol origam:window-group. Monte dans le slot default de Carousel, les 3 items se rendent",#428,"Exige le contexte parent et le refuse avec un message explicite plutot qu'un crash silencieux - bon signe de robustesse. C1/C3 non testes isolement, delegue a OrigamImg et OrigamWindowItem. C6 : pas de role=group ni aria-roledescription=slide propre, lacune partagee avec le parent. Story et doc dediees existent, non auditees ligne a ligne. C2 : conforme. SCSS->token verifie (bgColor='Primary' -> classe origam--bg-primary, computed backgroundColor = rgb(124,58,237) = token --origam-color__action--primary---bg). Hypothese coercition TColor/false testee sur les 4 canaux (bgColor, rounded, border, color) par montage nu sous theme cible. Infirmee sur les 4 : bgColor -> classe+var corrects ; rounded='lg' -> origam--rounded-lg + border-radius var(--origam-radius---lg) ; border=true -> origam-img--border origam--border-thin ; color='primary' -> origam--color-primary + color:var(fgSubtle) (meme motif auto-contraste que le ticket #455). Le theme atteint bien OrigamCarouselItem puis OrigamImg via filterProps, sans casse.",,"Img, Window",conforme,conforme,conforme,,,
